"FECHA","EQUIPO","VPNNAME","VPNID","SERVNAME","SERVID","CGW_SESTAT_TOTCUR_UEACTIVE","CGW_SESTAT_TOTCUR_UESETUP","CGW_SESTAT_TOTCUR_UERELEASED","CGW_SESTAT_TOTCUR_PDNACTIVE","CGW_SESTAT_TOTCUR_PDNSETUP","CGW_SESTAT_TOT_PDNRELEASED","CGW_SESTAT_TOT_PDNREJECTED","CGW_SESTAT_TOTCUR_PDN_IPV4","CGW_SESTAT_TOTCUR_PDN_IPV6","CGW_SESTAT_TOTCUR_PDN_IPV4V6","CGW_SESTAT_PDNSETUPTYPE_IPV4","CGW_SESTAT_PDNSETUPTYPE_IPV6","CGW_SESTAT_PDNSETUPTYPE_IPV4V6","CGW_SESTAT_PDNREL_IPV4","CGW_SESTAT_PDNREL_IPV6","CGW_SESTAT_PDNREL_IPV4V6","CGW_SEST_GNU_UL_PKTS","CGW_SEST_GNU_UL_BYTES","CGW_SEST_GNU_UL_DROP_PKTS","CGW_SEST_GNU_UL_DROP_BYTES","CGW_SEST_GNU_DL_PKTS","CGW_SEST_GNU_DL_BYTES","CGW_SEST_GNU_DL_DROP_PKTS","CGW_SEST_GNU_DL_DROP_BYTES","CGW_SEST_DHCP_DISC_HO_RCVED","CGW_SEST_DHCP_DISC_HO_ACTED","CGW_SEST_DHCP_DISC_HO_DEN","CGW_SEST_UPD_DEN_NO_SESSMGR","CGW_SEST_UPD_DEN_NO_MEMORY","CGW_SEST_UPD_DEN_SESMGR_RJTED","CGW_SEST_UPD_DEN_IN_QUEUE_EXC","CGW_SEST_UPD_DEN_SIM_BIND_EXC","CGW_SEST_UPD_DEN_ALLOC_FAIL","THROUGHPUT_UL","THROUGHPUT_DL"
25.12.2016 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,184,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26.12.2016 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0.125,186.114583333333333333333333333333333333,185.958333333333333333333333333333333333,0.125,0.2083333333333333333333333333333333333333,0.2083333333333333333333333333333333333333,0,0.125,0,0,0.2083333333333333333333333333333333333333,0,0,0.2083333333333333333333333333333333333333,0,0,2725,949907.75,0,0,3143.75,3449751.58333333333333333333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0020125,0.007308333333333333333333333333333333333333
27.12.2016 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0.125,190.489583333333333333333333333333333333,190.322916666666666666666666666666666667,0.125,0.125,0.125,0,0.125,0,0,0.125,0,0,0.125,0,0,1553.333333333333333333333333333333333333,397683.0833333333333333333333333333333333,0,0,1630.541666666666666666666666666666666667,1601062.5,0,0,0,0,0,0,0,0,0,0,0,0.000841666666666666666666666666666666666667,0.003395833333333333333333333333333333333333
28.12.2016 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0.2083333333333333333333333333333333333333,200.59375,200.260416666666666666666666666666666667,0.1666666666666666666666666666666666666667,0.9583333333333333333333333333333333333333,0.9583333333333333333333333333333333333333,0,0.1666666666666666666666666666666666666667,0,0,0.9583333333333333333333333333333333333333,0,0,0.9583333333333333333333333333333333333333,0,0,425.5,69764.5833333333333333333333333333333333,0,0,430.708333333333333333333333333333333333,110588.625,0,0,0,0,0,0,0,0,0,0,0,0.000145833333333333333333333333333333333333,0.000233333333333333333333333333333333333333
29.12.2016 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,-178956970.333333333333333333333333333333,218.739583333333333333333333333333333333,218.427083333333333333333333333333333333,-178956970.333333333333333333333333333333,0.7083333333333333333333333333333333333333,0.7083333333333333333333333333333333333333,0,-178956970.333333333333333333333333333333,0,0,0.7083333333333333333333333333333333333333,0,0,0.7083333333333333333333333333333333333333,0,0,4292.708333333333333333333333333333333333,4123331.33333333333333333333333333333333,0,0,3726,2563815.58333333333333333333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.008741666666666666666666666666666666666667,0.0054375
30.12.2016 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,-178956970.25,233,232.697916666666666666666666666666666667,0.2083333333333333333333333333333333333333,0.6666666666666666666666666666666666666667,0.6666666666666666666666666666666666666667,0,0.2083333333333333333333333333333333333333,0,0,0.6666666666666666666666666666666666666667,0,0,0.6666666666666666666666666666666666666667,0,0,1565.083333333333333333333333333333333333,299921.4166666666666666666666666666666667,0,0,2259.541666666666666666666666666666666667,1994578.20833333333333333333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.000641666666666666666666666666666666666667,0.004225
31.12.2016 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0.2083333333333333333333333333333333333333,245.21875,245.052083333333333333333333333333333333,0.2083333333333333333333333333333333333333,0.7916666666666666666666666666666666666667,0.7916666666666666666666666666666666666667,0,0.2083333333333333333333333333333333333333,0,0,0.7916666666666666666666666666666666666667,0,0,0.7916666666666666666666666666666666666667,0,0,3884.125,1658752.79166666666666666666666666666667,0,0,4405.708333333333333333333333333333333333,4618999.58333333333333333333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.003516666666666666666666666666666666666667,0.0097875
03.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0.125,262.072916666666666666666666666666666667,261.927083333333333333333333333333333333,0.125,0.625,0.625,0,0.125,0,0,0.625,0,0,0.625,0,0,1592.125,718051.1666666666666666666666666666666667,0,0,1764.75,1682796.54166666666666666666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.001516666666666666666666666666666666666667,0.003566666666666666666666666666666666666667
04.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0.125,273.34375,273.25,0.125,0.25,0.25,0,0.125,0,0,0.25,0,0,0.25,0,0,114.083333333333333333333333333333333333,18412.2916666666666666666666666666666667,0,0,113.833333333333333333333333333333333333,23206.6666666666666666666666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.00004166666666666666666666666666666666666667,0.00004583333333333333333333333333333333333333
05.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,-178956970.333333333333333333333333333333,284.802083333333333333333333333333333333,284.291666666666666666666666666666666667,-178956970.375,0.9583333333333333333333333333333333333333,0.9583333333333333333333333333333333333333,0,-178956970.375,0,0,0.9583333333333333333333333333333333333333,0,0,0.9583333333333333333333333333333333333333,0,0,3353.291666666666666666666666666666666667,3163460.79166666666666666666666666666667,0,0,2730.25,1488743.5,0,0,0,0,0,0,0,0,0,0,0,0.0067,0.003154166666666666666666666666666666666667
06.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0.0416666666666666666666666666666666666667,297.96875,297.895833333333333333333333333333333333,0.0416666666666666666666666666666666666667,0.25,0.25,0,0.0416666666666666666666666666666666666667,0,0,0.25,0,0,0.25,0,0,80.33333333333333333333333333333333333333,12624.5,0,0,88.875,18761.625,0,0,0,0,0,0,0,0,0,0,0,0.00002916666666666666666666666666666666666667,0.0000375
07.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0.25,305.583333333333333333333333333333333333,305.385416666666666666666666666666666667,0.25,0.5,0.5,0,0.25,0,0,0.5,0,0,0.5,0,0,1975.583333333333333333333333333333333333,226621.8333333333333333333333333333333333,0,0,2984.791666666666666666666666666666666667,3479479.29166666666666666666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.000479166666666666666666666666666666666667,0.007370833333333333333333333333333333333333
10.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0.0833333333333333333333333333333333333333,313.9375,313.822916666666666666666666666666666667,0.0833333333333333333333333333333333333333,0.2083333333333333333333333333333333333333,0.2083333333333333333333333333333333333333,0,0.0833333333333333333333333333333333333333,0,0,0.2083333333333333333333333333333333333333,0,0,0.2083333333333333333333333333333333333333,0,0,1422.791666666666666666666666666666666667,178023.7916666666666666666666666666666667,0,0,1978.125,2194427.70833333333333333333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.000379166666666666666666666666666666666667,0.00465
11.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0.0833333333333333333333333333333333333333,320.239583333333333333333333333333333333,320.145833333333333333333333333333333333,0.0833333333333333333333333333333333333333,0.3333333333333333333333333333333333333333,0.3333333333333333333333333333333333333333,0,0.0833333333333333333333333333333333333333,0,0,0.3333333333333333333333333333333333333333,0,0,0.3333333333333333333333333333333333333333,0,0,189.583333333333333333333333333333333333,44354.125,0,0,399.166666666666666666666666666666666667,63984.625,0,0,0,0,0,0,0,0,0,0,0,0.00009583333333333333333333333333333333333333,0.0001375
12.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0.0833333333333333333333333333333333333333,325.96875,325.895833333333333333333333333333333333,0.0833333333333333333333333333333333333333,0.2083333333333333333333333333333333333333,0.2083333333333333333333333333333333333333,0,0.0833333333333333333333333333333333333333,0,0,0.2083333333333333333333333333333333333333,0,0,0.2083333333333333333333333333333333333333,0,0,177.5,30487.6666666666666666666666666666666667,0,0,166.75,39308.5,0,0,0,0,0,0,0,0,0,0,0,0.00006666666666666666666666666666666666666667,0.00007916666666666666666666666666666666666667
13.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0.0416666666666666666666666666666666666667,331.447916666666666666666666666666666667,331.333333333333333333333333333333333333,0.0416666666666666666666666666666666666667,0.25,0.2916666666666666666666666666666666666667,0,0.0416666666666666666666666666666666666667,0,0,0.25,0,0,0.2916666666666666666666666666666666666667,0,0,3511.541666666666666666666666666666666667,3128922.91666666666666666666666666666667,0,0,2607.791666666666666666666666666666666667,1648359.83333333333333333333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.006633333333333333333333333333333333333333,0.003495833333333333333333333333333333333333
14.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,334,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,334,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0.0833333333333333333333333333333333333333,337.541666666666666666666666666666666667,337.291666666666666666666666666666666667,0.0833333333333333333333333333333333333333,0.3333333333333333333333333333333333333333,0.3333333333333333333333333333333333333333,0,0.0833333333333333333333333333333333333333,0,0,0.3333333333333333333333333333333333333333,0,0,0.3333333333333333333333333333333333333333,0,0,1442.833333333333333333333333333333333333,228503.9583333333333333333333333333333333,0,0,1461.833333333333333333333333333333333333,965177.0833333333333333333333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0004875,0.002045833333333333333333333333333333333333
17.01.2017 00:00:00,"JO2-ASR5K5-1","samog",5,"samog",24,5041918130,15996.8695652173913043478260869565217391,15979.7608695652173913043478260869565217,5041918130,16.30434782608695652173913043478260869565,16.3913043478260869565217391304347826087,0,5041918130,0,0,16.30434782608695652173913043478260869565,0,0,16.3913043478260869565217391304347826087,0,0,119939.4782608695652173913043478260869565,33122875.17391304347826086956521739130435,0.4782608695652173913043478260869565217391,102,170275,159645664.21739130434782608695652173913,0,0,0,0,0,0,0,0,0,0,0,0.0702043478260869565217391304347826086957,0.3383260869565217391304347826086956521739
17.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0.0833333333333333333333333333333333333333,348.979166666666666666666666666666666667,348.75,0.0833333333333333333333333333333333333333,0.5416666666666666666666666666666666666667,0.5416666666666666666666666666666666666667,0,0.0833333333333333333333333333333333333333,0,0,0.5416666666666666666666666666666666666667,0,0,0.5416666666666666666666666666666666666667,0,0,1052.791666666666666666666666666666666667,244058.3333333333333333333333333333333333,0,0,1162.166666666666666666666666666666666667,1135584.58333333333333333333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.000520833333333333333333333333333333333333,0.002408333333333333333333333333333333333333
