"FECHA","EQUIPO","VPNNAME","VPNID","SERVNAME","SERVID","CGW_SESTAT_TOTCUR_UEACTIVE","CGW_SESTAT_TOTCUR_UESETUP","CGW_SESTAT_TOTCUR_UERELEASED","CGW_SESTAT_TOTCUR_PDNACTIVE","CGW_SESTAT_TOTCUR_PDNSETUP","CGW_SESTAT_TOT_PDNRELEASED","CGW_SESTAT_TOT_PDNREJECTED","CGW_SESTAT_TOTCUR_PDN_IPV4","CGW_SESTAT_TOTCUR_PDN_IPV6","CGW_SESTAT_TOTCUR_PDN_IPV4V6","CGW_SESTAT_PDNSETUPTYPE_IPV4","CGW_SESTAT_PDNSETUPTYPE_IPV6","CGW_SESTAT_PDNSETUPTYPE_IPV4V6","CGW_SESTAT_PDNREL_IPV4","CGW_SESTAT_PDNREL_IPV6","CGW_SESTAT_PDNREL_IPV4V6","CGW_SEST_GNU_UL_PKTS","CGW_SEST_GNU_UL_BYTES","CGW_SEST_GNU_UL_DROP_PKTS","CGW_SEST_GNU_UL_DROP_BYTES","CGW_SEST_GNU_DL_PKTS","CGW_SEST_GNU_DL_BYTES","CGW_SEST_GNU_DL_DROP_PKTS","CGW_SEST_GNU_DL_DROP_BYTES","CGW_SEST_DHCP_DISC_HO_RCVED","CGW_SEST_DHCP_DISC_HO_ACTED","CGW_SEST_DHCP_DISC_HO_DEN","CGW_SEST_UPD_DEN_NO_SESSMGR","CGW_SEST_UPD_DEN_NO_MEMORY","CGW_SEST_UPD_DEN_SESMGR_RJTED","CGW_SEST_UPD_DEN_IN_QUEUE_EXC","CGW_SEST_UPD_DEN_SIM_BIND_EXC","CGW_SEST_UPD_DEN_ALLOC_FAIL","THROUGHPUT_UL","THROUGHPUT_DL"
13.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,1,333.25,333,1,2,1,0,1,0,0,2,0,0,1,0,0,80718,74460513,0,0,59763,39000341,0,0,0,0,0,0,0,0,0,0,0,0.1578,0.0827
14.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,334,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,334,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,1,339.25,339,1,1,0,0,1,0,0,1,0,0,0,0,0,13728,1898086,0,0,15701,14437691,0,0,0,0,0,0,0,0,0,0,0,0.004,0.0306
17.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,1,354,353.5,1,1,1,0,1,0,0,1,0,0,1,0,0,7654,976839,0,0,9155,10014578,0,0,0,0,0,0,0,0,0,0,0,0.0021,0.0212
17.01.2017 00:00:00,"JO2-ASR5K5-1","samog",5,"samog",24,12884901885,15956,15914,12884901885,33,36,0,12884901885,0,0,33,0,0,36,0,0,420932,138524122,6,849,642796,693286182,0,0,0,0,0,0,0,0,0,0,0,0.2936,1.4693
18.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,356,355,0,0,0,0,0,0,0,0,0,0,0,0,0,8307,1441103,0,0,8185,7738252,0,0,0,0,0,0,0,0,0,0,0,0.0031,0.0164
18.01.2017 00:00:00,"JO2-ASR5K5-1","samog",5,"samog",24,4294967298,16394.5,16358.5,4294967298,35,33,0,4294967298,0,0,35,0,0,33,0,0,470345,56251104,0,0,797304,1007360834,0,0,0,0,0,0,0,0,0,0,0,0.1192,2.1349
19.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,356,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.01.2017 00:00:00,"JO2-ASR5K5-1","samog",5,"samog",24,8589934586,16798.5,16768.5,8589934586,19,25,0,8589934586,0,0,19,0,0,25,0,0,423999,35595340,0,0,676814,809928499,0,0,0,0,0,0,0,0,0,0,0,0.0754,1.7165
20.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,356,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.01.2017 00:00:00,"JO2-ASR5K5-1","samog",5,"samog",24,4294967296,17111.75,17072.5,4294967296,27,27,0,4294967296,0,0,27,0,0,27,0,0,356767,75734981,0,0,628077,776278781,0,0,0,0,0,0,0,0,0,0,0,0.1605,1.6451
21.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,356,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.01.2017 00:00:00,"JO2-ASR5K5-1","samog",5,"samog",24,4294967296,17166.5,17164.25,4294967296,2,2,0,4294967296,0,0,2,0,0,2,0,0,12562,1179581,0,0,50140,67282193,0,0,0,0,0,0,0,0,0,0,0,0.0025,0.1426
22.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,356,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.01.2017 00:00:00,"JO2-ASR5K5-1","samog",5,"samog",24,0,17058,17057,0,0,0,0,0,0,0,0,0,0,0,0,0,12866,1496055,0,0,17988,14121919,0,0,0,0,0,0,0,0,0,0,0,0.0032,0.0299
23.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,356,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23.01.2017 00:00:00,"JO2-ASR5K5-1","samog",5,"samog",24,8589934568,17295,17281.5,8589934568,5,29,0,8589934568,0,0,5,0,0,29,0,0,260079,22236309,0,0,459240,583490800,0,0,0,0,0,0,0,0,0,0,0,0.0471,1.2366
24.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,1,356.5,356,1,1,0,0,1,0,0,1,0,0,0,0,0,12427,1753548,0,0,13125,13387582,0,0,0,0,0,0,0,0,0,0,0,0.0037,0.0284
24.01.2017 00:00:00,"JO2-ASR5K5-1","samog",5,"samog",24,4294967298,17421.25,17386.75,4294967298,28,26,0,4294967298,0,0,28,0,0,26,0,0,505529,45177839,0,0,941570,1178715971,0,0,0,0,0,0,0,0,0,0,0,0.0957,2.498
25.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,358,357,0,0,0,0,0,0,0,0,0,0,0,0,0,14662,2748241,0,0,14478,13355702,0,0,0,0,0,0,0,0,0,0,0,0.0058,0.0283
25.01.2017 00:00:00,"JO2-ASR5K5-1","samog",5,"samog",24,4294967297,17783,17740.75,4294967297,28,27,0,4294967297,0,0,28,0,0,27,0,0,307202,37373372,0,0,1152964,1514144196,0,0,0,0,0,0,0,0,0,0,0,0.0792,3.2089
26.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,1,363.5,363.25,1,2,2,0,1,0,0,2,0,0,2,0,0,1073,156716,0,0,959,868072,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.0018
26.01.2017 00:00:00,"JO2-ASR5K5-1","samog",5,"samog",24,12884901878,18244,18210.5,12884901878,26,36,0,12884901878,0,0,26,0,0,36,0,0,223842,25375199,0,0,438507,510531856,0,0,0,0,0,0,0,0,0,0,0,0.0538,1.082
28.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,373,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.01.2017 00:00:00,"JO2-ASR5K5-1","samog",5,"samog",24,0,18725,18723,0,0,0,0,0,0,0,0,0,0,0,0,0,232,26124,0,0,156,21665,0,0,0,0,0,0,0,0,0,0,0,0.0001,0
29.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,373,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.01.2017 00:00:00,"JO2-ASR5K5-1","samog",5,"samog",24,0,18628,18626,0,0,0,0,2,0,0,0,0,0,0,0,0,1554,121600,0,0,5514,7263803,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.0154
30.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,378,377,0,0,0,0,1,0,0,0,0,0,0,0,0,26880,3714889,0,0,37851,47520065,0,0,0,0,0,0,0,0,0,0,0,0.0079,0.1007
30.01.2017 00:00:00,"JO2-ASR5K5-1","samog",5,"samog",24,8589934592,18789.5,18744,8589934593,42,41,0,45.5,0,0,42,0,0,41,0,0,383177,122740243,2,300,839510,1026655613,0,0,0,0,0,0,0,0,0,0,0,0.2601,2.1758
31.01.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,0,378,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.01.2017 00:00:00,"JO2-ASR5K5-1","samog",5,"samog",24,17179869172,19256.25,19214,17179869172,33,45,0,42.25,0,0,33,0,0,45,0,0,894756,264702744,2,104,1428249,1725190006,0,0,0,0,0,0,0,0,0,0,0,0.561,3.6562
01.02.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,4294967296,381.75,380.5,4294967296,1,1,0,1.25,0,0,1,0,0,1,0,0,35157,3484366,0,0,48576,62112104,0,0,0,0,0,0,0,0,0,0,0,0.0074,0.1316
01.02.2017 00:00:00,"JO2-ASR5K5-1","samog",5,"samog",24,12884901886,19632.25,19597.25,12884901886,55,57,0,35,0,0,55,0,0,57,0,0,333524,193451432,0,0,413658,435069239,0,0,0,0,0,0,0,0,0,0,0,0.41,0.922
02.02.2017 00:00:00,"TOR-ASR5K5-3","SAMOG",2,"samog",3,1,385.75,385,1,1,0,0,0.75,0,0,1,0,0,0,0,0,29074,4481745,0,0,29855,34299188,0,0,0,0,0,0,0,0,0,0,0,0.0095,0.0727
